movie,imdb_id,year,award
The Shawshank Redemption,tt0111161,1995,Oscar
Brokeback Mountain,tt0388795,2006,Oscar
Avatar,tt0499549,2010,Oscar
Titanic,tt0120338,1998,Oscar
"Crouching Tiger, Hidden Dragon",tt0190332,2001,Oscar
Nomadland,tt9770150,2021,Oscar
Get Out,tt5052448,2018,Oscar
L.A. Confidential,tt0119488,1998,Oscar
Little Miss Sunshine,tt0449059,2007,Oscar
Once Upon a Time in Hollywood,tt4010884,2020,Oscar
The Full Monty,tt0119164,1998,Oscar
The Green Mile,tt0120689,2000,Oscar
The Fighter,tt0964517,2011,Oscar
