Movie,Average Negative,Average Neutral,Average Positive
Avatar,0.10819194587935325,0.1955646545146451,0.6962434026328
"Crouching Tiger, Hidden Dragon",0.02994432936732968,0.22154811153277043,0.7485075689674844
Nomadland,0.1880695480587227,0.3153130082147462,0.49661744279520853
Titanic,0.13192228173526624,0.15559851836102703,0.7124791915218035
Brokeback Mountain,0.15685161450205165,0.2041752077639103,0.6389731723401282
The Shawshank Redemption,0.037861792973920026,0.12092805190971402,0.8412101464063834
