Movie,Average Negative,Average Neutral,Average Positive
Avatar,0.3424869848725696,0.3074595779180527,0.35005342836181325
Brokeback Mountain,0.12225738974908988,0.2761485545585553,0.6015940482417742
"Crouching Tiger, Hidden Dragon",0.4194905149439971,0.3044409987827142,0.2760684777361651
Nomadland,0.26987675086341123,0.4228753975846551,0.3072478544305671
Titanic,0.28130548596382143,0.39791006247202554,0.32078442821900055
The Shawshank Redemption,0.25290367007255554,0.35855117440223694,0.3885451555252075
