Movie,disgust,sadness,neutral,anger,fear,surprise,joy
Brokeback Mountain,0.1077866242849268,0.2032010469411034,0.17358892579795793,0.018004495752393268,0.14692699402803555,,
"Crouching Tiger, Hidden Dragon",0.06602728415542977,0.14817015821897675,0.23546902587016424,0.019271158175321206,,0.0937808042924319,
The Shawshank Redemption,,0.09781297909147622,0.23716607168316842,,0.06518243203560511,0.22592826338691846,0.33763614147901533
Nomadland,0.05323010143872939,0.33228590937429353,0.3890408121147438,0.007818607968817415,,,0.0862369667983761
Avatar,0.019980119641071985,0.03959319155131068,0.37314777118375614,,,0.2076625166726964,0.2800391119949165
Titanic,0.07713420280054503,,0.16699463545399554,,0.204340895669827,0.18567227911861503,0.12896823585170375
